Entity,EntityDocumentsId,NewDocumentIndicator,RecordInsertDate
MANPUB,1,N,2022-10-30
MANPUB,2,N,2022-10-30
MANPUB,3,N,2022-10-30
MANPUB,4,N,2022-10-30
MANPUB,5,N,2022-10-30
MANPUB,6,N,2022-10-30
MANPUB,7,N,2022-10-30
MANPUB,8,N,2022-10-30
MANPUB,9,N,2022-10-30
MANPUB,10,N,2022-10-30
MANPUB,11,N,2022-10-30
MANPUB,12,N,2022-10-30
MANPUB,13,N,2022-10-30
MANPUB,14,N,2022-10-30
MANPUB,15,N,2022-10-30
MANPUB,16,N,2022-10-30
MANPUB,17,N,2022-10-30
MANPUB,18,N,2022-10-30
MANPUB,19,N,2022-10-30
MANPUB,20,N,2022-10-30
MANPUB,21,N,2022-10-30
MANPUB,22,N,2022-10-30
MANPUB,23,N,2022-10-30
MANPUB,24,N,2022-10-30
MANPUB,25,N,2022-10-30
MANPUB,26,N,2022-10-30
MANPUB,27,N,2022-10-30
MANPUB,28,N,2022-10-30
MANPUB,29,N,2022-10-30
MANPUB,30,N,2022-10-30
MANPUB,31,N,2022-10-30
MANPUB,32,N,2022-10-30
MANPUB,33,N,2022-10-30
MANPUB,34,N,2022-10-30
MANPUB,35,N,2022-10-30
MANPUB,36,N,2022-10-30
MANPUB,37,N,2022-10-30
MANPUB,38,N,2022-10-30
MANPUB,39,N,2022-10-30
MANPUB,40,N,2022-10-30
MANPUB,41,N,2022-10-30
MANPUB,42,N,2022-10-30
MANPUB,43,N,2022-10-30
MANPUB,44,N,2022-10-30
MANPUB,45,N,2022-10-30
MANPUB,46,N,2022-10-30
MANPUB,47,N,2022-10-30
MANPUB,48,N,2022-10-30
MANPUB,49,N,2022-10-30
MANPUB,50,N,2022-10-30
MANPUB,51,N,2022-10-30
MANPUB,52,N,2022-10-30
MANPUB,53,N,2022-10-30
MANPUB,54,N,2022-10-30
MANPUB,55,N,2022-10-30
MANPUB,56,N,2022-10-30
MANPUB,57,N,2022-10-30
MANPUB,58,N,2022-10-30
MANPUB,59,N,2022-10-30
MANPUB,60,N,2022-10-30
MANPUB,61,N,2022-10-30
MANPUB,62,N,2022-10-30
MANPUB,63,N,2022-10-30
MANPUB,64,N,2022-10-30
MANPUB,65,N,2022-10-30
MANPUB,66,N,2022-10-30
MANPUB,67,N,2022-10-30
MANPUB,68,N,2022-10-30
MANPUB,69,N,2022-10-30
MANPUB,70,N,2022-10-30
MANPUB,71,N,2022-10-30
MANPUB,72,N,2022-10-30
MANPUB,73,N,2022-10-30
MANPUB,74,N,2022-10-30
MANPUB,75,N,2022-10-30
MANPUB,76,N,2022-10-30
MANPUB,77,N,2022-10-30
MANPUB,78,N,2022-10-30
MANPUB,79,N,2022-10-30
MANPUB,80,N,2022-10-30
MANPUB,81,N,2022-10-30
MANPUB,82,N,2022-10-30
MANPUB,83,N,2022-10-30
MANPUB,84,N,2022-10-30
MANPUB,85,N,2022-10-30
MANPUB,86,N,2022-10-30
MANPUB,87,N,2022-10-30
MANPUB,88,N,2022-10-30
MANPUB,89,N,2022-10-30
MANPUB,90,N,2022-10-30
MANPUB,91,N,2022-10-30
MANPUB,92,N,2022-10-30
MANPUB,93,N,2022-10-30
MANPUB,94,N,2022-10-30
MANPUB,95,N,2022-10-30
MANPUB,96,N,2022-10-30
MANPUB,97,N,2022-10-30
MANPUB,98,N,2022-10-30
MANPUB,99,N,2022-10-30
MANPUB,100,N,2022-10-30
MANPUB,101,N,2022-10-30
MANPUB,102,N,2022-10-30
MANPUB,103,N,2022-10-30
MANPUB,104,N,2022-10-30
MANPUB,105,N,2022-10-30
MANPUB,106,N,2022-10-30
MANPUB,107,N,2022-10-30
MANPUB,108,N,2022-10-30
MANPUB,109,N,2022-10-30
MANPUB,110,N,2022-10-30
MANPUB,111,N,2022-10-30
MANPUB,112,N,2022-10-30
MANPUB,113,N,2022-10-30
MANPUB,114,N,2022-10-30
MANPUB,115,N,2022-10-30
MANPUB,116,N,2022-10-30
MANPUB,117,N,2022-10-30
MANPUB,118,N,2022-10-30
MANPUB,119,N,2022-10-30
MANPUB,120,N,2022-10-30
MANPUB,121,N,2022-10-30
MANPUB,122,N,2022-10-30
MANPUB,123,N,2022-10-30
MANPUB,124,N,2022-10-30
MANPUB,125,N,2022-10-30
MANPUB,126,N,2022-10-30
MANPUB,127,N,2022-10-30
MANPUB,128,N,2022-10-30
MANPUB,129,N,2022-10-30
MANPUB,130,N,2022-10-30
MANPUB,131,N,2022-10-30
MANPUB,132,N,2022-10-30
MANPUB,133,N,2022-10-30
MANPUB,134,N,2022-10-30
MANPUB,135,N,2022-10-30
MANPUB,136,N,2022-10-30
MANPUB,137,N,2022-10-30
MANPUB,138,N,2022-10-30
MANPUB,139,N,2022-10-30
MANPUB,140,N,2022-10-30
MANPUB,141,N,2022-10-30
MANPUB,142,N,2022-10-30
MANPUB,143,N,2022-10-30
MANPUB,144,N,2022-10-30
MANPUB,145,N,2022-10-30
MANPUB,146,N,2022-10-30
MANPUB,147,N,2022-10-30
MANPUB,148,N,2022-10-30
MANPUB,149,N,2022-10-30
MANPUB,150,N,2022-10-30
MANPUB,151,N,2022-10-30
MANPUB,152,N,2022-10-30
MANPUB,153,N,2022-10-30
MANPUB,154,N,2022-10-30
MANPUB,155,N,2022-10-30
MANPUB,156,N,2022-10-30
MANPUB,157,N,2022-10-30
MANPUB,158,N,2022-10-30
MANPUB,159,N,2022-10-30
MANPUB,160,N,2022-10-30
MANPUB,161,N,2022-10-30
MANPUB,162,N,2022-10-30
MANPUB,163,N,2022-10-30
MANPUB,164,N,2022-10-30
MANPUB,165,N,2022-10-30
